公司名称,流动比率,资产负债率,应收账款周转率,总资产周转率,净资产收益率,资产报酬率,净利润增长率,总资产增长率
兴业矿业,1.16347,0.488947,2.359441,0.136424,-0.112866,-0.014949,-950.570308,-0.058403
华天酒店,0.734164,0.589695,11.288387,0.287458,0.10308,0.063465,-88.422313,0.368295
粤高速A,0.488329,0.475639,72.478427,0.128986,0.123906,0.082414,-0.584282,0.256694
张家界,0.039618,1.094798,86.380842,0.27527,1.111564,-0.042681,-68.012836,-0.147731
晨鸣纸业,1.18704,0.466842,8.861853,0.59049,0.089828,0.05881,-1.532339,0.194828
山东路桥,0.116347,1.889506,3.154357,0.0544,-0.013686,0.153733,-4.233119,-0.095023
鄂武商A,0.852765,0.70319,406.247164,1.28033,0.178653,0.064895,3.322271,0.21677
绿景控股,1.50953,0.606376,158.643113,0.584415,0.179192,0.070003,-1.496409,0.058654
海虹控股,3.629113,0.192152,5.835585,0.175623,0.004322,0.00433,-0.058495,-0.005142
南华生物,0.83695,0.481551,1.54846,0.368028,-0.611389,-0.298291,38.519392,-0.211935
*ST 珠江,0.811528,0.866267,24.650746,0.104389,-0.611761,-0.062568,0.00408,0.038285
中润资源,1.12059,0.858397,7.906568,0.278163,0.437974,0.062618,-182.672496,0.082553
珠海港,0.867038,0.328355,35.841073,0.977042,0.073872,0.07278,-11.909803,-0.329731
华塑控股,0.3212,0.957424,6.353373,0.605246,-5.095799,-0.168545,-0.562044,-0.207457
*ST 金路,0.694118,0.578799,125.269865,0.755588,-0.057951,0.005055,-2.566321,-0.027016
烯碳新材,2.849218,0.332509,21.359756,0.309968,0.092328,0.061547,-0.996511,-0.030394
丽珠集团,1.664144,0.372558,5.995109,0.704094,0.039742,0.034005,-3.109998,-0.007438
渝开发,3.105222,0.316078,223.331869,0.134089,0.05993,0.055005,0.505337,0.157702
攀渝钛业,0.474996,0.564549,313.563187,1.039166,-0.374464,-0.13708,0.13545,-0.08337
国际医学,0.901748,0.598935,107.366161,1.164151,0.100696,0.054065,0.021774,0.209248
荣安地产,0.073372,13.629115,,1.794454,4.061865,-43.477064,1.579885,-0.993903
四环生物,5.16023,0.107216,2.116213,0.231179,-0.203365,-0.18184,-58.926134,-0.121362
江南红箭,2.101122,0.252087,5.487886,0.63063,-0.078871,-0.051235,3.018286,-0.095295
长航凤凰,0.684851,0.72901,16.729128,0.465728,0.051537,0.041564,-3.036021,0.184165
美菱电器,0.665309,0.682342,15.3605,1.278919,0.023804,0.022391,0.650129,0.028581
白云山A,0.720088,0.695836,9.594516,0.936596,0.098113,0.063715,1.650099,0.023257
广州浪奇,1.843835,0.321461,7.900486,1.53088,0.013168,0.019554,-1.348179,-0.04605
岭南控股,0.765244,0.246785,13.47846,0.327985,0.006909,0.014588,-2.182871,0.027848
红太阳,0.923416,0.756393,23.862793,1.112956,0.049683,0.050854,0.279885,0.130941
银润投资,0.666395,0.208478,,0.02644,-0.084267,-0.068298,1.88927,-0.090907
美的电器,0.860846,0.688136,15.432005,1.937832,0.212698,0.08692,-1.55149,0.187914
柳工,1.514225,0.577239,11.757545,1.477631,0.12898,0.071716,-3.17237,0.385123
广弘控股,1.589417,0.411897,7.109048,0.162483,0.564762,0.39221,-19.186487,1.096486
大冷股份,1.310464,0.360596,3.462622,0.556487,0.077995,0.053326,-0.08701,0.052938
穗恒运A,0.600176,0.702541,5.749862,0.533828,-0.043658,0.023458,-0.964358,0.14451
力合股份,2.681409,0.18744,2.88216,0.232999,-0.050778,-0.033673,11.529489,0.009803
万家乐,1.075391,0.764149,3.24512,1.004621,0.099993,0.062303,0.453171,0.067518
万泽股份,3.090475,0.511829,14.07443,0.251381,0.040989,0.022996,-4.877382,0.451492
华映科技,0.814046,0.747619,11.081878,0.753639,0.148295,0.047821,-1.7153,-0.026975
广宇发展,1.378996,0.750077,22.521697,0.625789,0.043707,0.010097,-1.346331,-0.062664
云南白药,2.596682,0.354562,35.48503,1.159206,0.145461,0.094226,0.462808,0.624311
粤电力A,0.805159,0.54836,7.146331,0.471703,-0.011764,0.018499,-2.308982,0.023963
中天城投,1.990376,0.7204,6.348771,0.317416,0.237089,0.066686,9.953964,0.252783
佛山照明,7.961872,0.069799,7.886298,0.607261,0.085633,0.077931,-0.241952,-0.165847
皖能电力,0.723361,0.541113,10.449609,0.310291,0.002033,0.014787,-9.018986,-0.116032
中原环保,0.947068,0.381446,2.27052,0.347423,0.142459,0.100447,0.128615,0.23368
金浦钛业,0.650281,0.931354,1.728249,0.386048,0.136974,0.050866,-3.403125,0.020825
金圆股份,1.22197,0.744049,12.321845,0.009554,-0.145233,-0.025379,4.968767,-0.049512
航天发展,1.469788,0.324883,2.597919,0.290871,0.057042,0.047309,-0.37721,-0.372312
湖南投资,1.875349,0.332116,14.365602,0.105843,0.033444,0.025992,-0.461299,0.01387
江铃汽车,1.930641,0.30395,51.346733,1.439865,0.192089,0.1238,0.471164,-0.026219
创元科技,1.145661,0.508555,10.24458,0.886322,0.090994,0.053783,-0.674745,-0.008658
靖远煤电,1.594643,0.213289,5.26363,0.790722,0.225255,0.182237,5.692202,0.155826
沙隆达A,1.695663,0.455282,26.819437,1.081904,0.15148,0.105037,-0.478535,0.177381
泰山石油,5.660975,0.064439,26277.95122,3.013806,0.159208,0.147185,-1.029473,-0.083928
神州信息,0.207121,4.783244,3.688917,0.621135,-0.001496,0.075978,-1.038648,0.07696
*ST 广夏,0.153842,3.061188,9.626223,0.091768,0.375523,-0.707672,8.23892,-0.108847
莱茵体育,1.439711,0.736705,583.520882,0.441494,0.208665,0.055125,1.055755,-0.003879
万向钱潮,0.778629,0.692608,7.124634,0.8348,0.183259,0.075605,-0.021393,0.057774
昆百大A,0.810637,0.764406,345.1875,0.474871,0.042607,0.025051,-2.63226,0.035923
烽火电子,0.564142,1.243439,1.295747,0.243157,-10.552449,2.566811,-460.923128,-0.188864
宏源证券,,0.674711,,0.104261,0.108796,,0.542916,-0.328721
陕国投A,1.139251,0.681575,20.724303,0.099308,0.138946,0.043749,3.403768,0.112924
